"inventory_type_id","inventory_type_description","min_order_qty","price_per_unit","inventory_sub_type","discount","min_variance","max_variance","auto_renewal_flag","erp_inventory_id","pickup_location_id","umo_value","category","face_value","min_variance_disc","max_variance_disc","tax_plan","dealer_discount","return_policy","due_date","ziada_points","esd_signature","batch_size","prefix","serial_counter","pallet_size","available","w_period","prod_family","price_group","work_category","equip_type","used_stock","sim_card","item_type","vendor_id","type_id","damage_code","service_code","v_item_type","used_item_code","w_avg_ucost","calc_wac","quantity","add_date","prevwavg_ucost","mod_date","v_item_code","v_item_no","available_date","expiry_date","consigment_po","status","DEPOSIT_PRICE","ADD_BY","MOD_BY","national_material_code","wg_material_code","SUB_CATEGORY","weight","return_flag","color","size","is_bundle","parent_id","send_to_bi","remarks"
389.0,"Enterprise Welcome offer with 100GB data, 2000 min voice and 1000 SMSs",1.0,,L,0.0,0.0,0.0,N,"129",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-15 14:36:26.000,,,,,2022-07-15 02:00:00.000,2122-07-15 02:00:00.000,,,,pagure1,,,,,1,,,,,,,
390.0,"140 SMS",1.0,,L,0.0,0.0,0.0,N,"234",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-15 14:41:05.000,,,,,2022-07-15 02:00:00.000,2122-07-15 02:00:00.000,,,,atadesse,,,,,1,,,,,,,
391.0,Famoco 3in1  EKYC Device,,0.0,P,0.0,,,Y,ETD20027,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 18:38:48.000,,,,,2022-07-15 18:38:48.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
392.0,Ethiopia Electronic Vouchers 5,,0.0,L,0.0,,,N,EVD00005,,,evd voucher,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 18:38:51.000,,,,,2022-07-15 18:38:51.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
393.0,Safaricom ET Kimem Awaze 4G SFP - Vida,,0.0,P,0.0,,,Y,ETD20001,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-15 19:28:57.000,,,,,2022-07-15 19:28:57.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
394.0,"500 MB",1.0,,L,0.0,0.0,0.0,N,"279",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-15 20:31:49.000,,,,,2022-07-15 02:00:00.000,2122-07-15 02:00:00.000,,,,tdistributer,,,,,1,,,,,,,
395.0,iPhone 13 Pro Max 1 TB Gold,,0.0,P,0.0,,,Y,ETD20110,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 16:20:57.000,,,,,2022-07-18 16:20:57.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
396.0,iPhone 13 Pro Max 1 TB Sierra Blue,,0.0,P,0.0,,,Y,ETD20111,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:03.000,,,,,2022-07-18 18:23:03.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
397.0,iPhone 13 Pro Max 1 TB Alpine Green,,0.0,P,0.0,,,Y,ETD20112,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:04.000,,,,,2022-07-18 18:23:04.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
398.0,iPhone 12 64 GB Black,,0.0,P,0.0,,,Y,ETD20113,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:04.000,,,,,2022-07-18 18:23:04.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
399.0,Galaxy A03 Core LTE DS 2+32GB,,0.0,P,0.0,,,Y,ETD20006,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:05.000,,,,,2022-07-18 18:23:05.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
400.0,Galaxy A12 LTE DS 4+64GB,,0.0,P,0.0,,,Y,ETD20007,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:06.000,,,,,2022-07-18 18:23:06.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
401.0,Galaxy A13 LTE DS 4+128GB,,0.0,P,0.0,,,Y,ETD20008,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:07.000,,,,,2022-07-18 18:23:07.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
402.0,Ethiopia Electronic Voucher 10,,0.0,L,0.0,,,Y,EVD00010,,,evd voucher,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:09.000,,,,,2022-07-18 18:23:09.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
403.0,Ethiopia Electronic Voucher 15,,0.0,L,0.0,,,Y,EVD00015,,,evd voucher,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:10.000,,,,,2022-07-18 18:23:10.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
404.0,Ethiopia Electronic Voucher 20,,0.0,L,0.0,,,Y,EVD00020,,,evd voucher,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:11.000,,,,,2022-07-18 18:23:11.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
405.0,Ethiopia Electronic Voucher 25,,0.0,L,0.0,,,Y,EVD00025,,,evd voucher,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:12.000,,,,,2022-07-18 18:23:12.000,2100-01-31 12:00:01.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
406.0,Ethiopia Electronic Voucher 50,,0.0,L,0.0,,,Y,EVD00050,,,evd voucher,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:12.000,,,,,2022-07-18 18:23:12.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
407.0,Ethiopia Electronic Voucher 100,,0.0,L,0.0,,,Y,EVD00100,,,evd voucher,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-18 18:23:13.000,,,,,2022-07-18 18:23:13.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Voucher Product,1,Y,,,,,,
